State	Airport ID	Airport / Location	Last Reported	Vehicle Description
Georgia	KCNI	Canton - Cherokee Co. / S&S Aviation	8/2024	Courtesy car available
Georgia	KVPC	Cartersville	8/2024	Honda Civic, Accord and minivan
Georgia	KCTJ	Carrolton - West Georgia Regional	4/2024	3 cars
Georgia	KCSG	Columbus Airport - Flightways	8/2024	Courtesy car available
Georgia	KAJR	Cornelia - Habersham County	3/2025	2 cars; nice FBO; cheap gas
Georgia	16J	Dawson Municipal	4/2025	Newer full-size Ford
Georgia	KDQH	Douglas Municipal	8/2024	Chevy Impala; business hours M-F 8-5
Georgia	KFZG	Fitzgerald Municipal	4/2025	Dodge Caravan; FBO open M-F 8-17
Georgia	KLHW	Fort Stewart - Midcoast Regional	8/2024	Courtesy car available
Georgia	KCPP	Greensboro - Greene Co Regional / Spirit Aviation	8/2024	Courtesy car available
Georgia	6A2	Griffin - Spalding County Airport	8/2024	Courtesy car available
Georgia	KAZE	Hazlehurst Airport	8/2024	Dodge Caravan and Chevy Impala
Georgia	KJZP	Jasper - Pickens Co Airport	8/2024	Courtesy car available
Georgia	KJCA	Jefferson - Jackson County Airport	8/2024	Courtesy car available
Georgia	KJES	Jesup - Wayne County / SutAir Flying Service	8/2024	Buick available
Georgia	KLZU	Lawrenceville - Gwinnett County / Sheltair	8/2024	Courtesy car available
Georgia	D73	Monroe - Walton County / Fair Weather Flights	8/2024	2 nice cars
Georgia	KPXE	Perry - Houston County Airport	2/2024	3 cars; no user fees; buy fuel as courtesy
Georgia	KPIM	Pine Mountain - Harris County Airport	4/2025	2 cars available
Georgia	KRVJ	Reidsville - Swinton Smith Field	8/2024	Courtesy car available
Georgia	KRMG	Rome - Russell Airport	8/2024	Courtesy car available
Georgia	KSAV	Savannah - Hilton Head Intl / Signature	8/2024	Courtesy transportation
Georgia	KTBR	Statesboro - Bulloch County Airport	12/2025	Ford pickup and van
Georgia	KSBO	Swainsboro - East Georgia Regional / AirStar	8/2024	Courtesy transportation
Georgia	KOPN	Thomaston - Upson Co.	8/2024	3 Ford Expeditions
Georgia	KTVI	Thomasville Regional	8/2024	Up to 5 Ford Crown Vics or SUVs
Georgia	KTOC	Toccoa - RG Letourneau Field / Toccoa Aviation	4/2025	Crew car available
Georgia	KVDI	Vidalia Regional	8/2024	2 cars; fantastic terminal and pilots lounge
Georgia	KAYS	Waycross - Ware County	8/2024	Ford Expedition and Taurus
Hawaii	PHOG	Kahului - Signature & Atlantic	8/2024	Cars at multiple FBOs
Hawaii	PHNL	Honolulu Intl - Castle & Cooke & Signature	8/2024	Cars at multiple FBOs
Hawaii	PHJR	Kapolei - Rodgers Field / Million Air	8/2024	Courtesy car available
Idaho	U36	Aberdeen Municipal	8/2024	Courtesy van
Idaho	U01	American Falls Airport	8/2024	Courtesy transportation
Idaho	KAOC	Arco - Butte County	8/2024	Car available; call ahead for keys
Idaho	U02	Blackfoot - McCarley Field	8/2024	Call Randy for car
Idaho	KBOI	Boise Air Terminal - Western Aircraft & Jackson Jet Center	8/2025	Cars at multiple FBOs; new RAV4s at Jackson Jet
Idaho	65S	Bonners Ferry - Northern Air	8/2024	Courtesy car; very friendly staff
Idaho	U03	Buhl Municipal - 8 Triple 9 Aviation	8/2024	Courtesy car available
Idaho	KBYI	Burley Municipal - The FlightLine	8/2024	Courtesy car available
Idaho	KEUL	Caldwell Airport - Midfield Aviation	7/2024	Older Caddy Deville
Idaho	KDIJ	Driggs - Reid Memorial / Teton Aviation	8/2024	Courtesy car available
Idaho	KGNG	Gooding - High Range Aviation	8/2024	2 cars available
Idaho	KSUN	Hailey - Friedman Memorial / Atlantic	4/2025	Courtesy car; 2-hour limit
Idaho	KJER	Jerome - Precision Aviation & Jerome County Airport	8/2024	Courtesy transportation
Idaho	S83	Kellogg - Shoshone County Airport	8/2024	Courtesy transportation
Idaho	KLWS	Lewiston - Nez Perce County / Hillcrest Aircraft & Frontier	8/2024	Honda mini-van and other cars
Idaho	U76	Mountain Home Muni - Altitude Aviation Services	8/2024	Courtesy car available
Idaho	KMAN	Nampa - Avcenter	8/2024	Courtesy car available
Idaho	S68	Orofino Municipal	4/2025	3 cars
Idaho	KPIH	Pocatello Regional - AvCenter	8/2024	Nice car; 2-hour limit
Idaho	U10	Preston - Preston Flying Service	8/2024	Ford Taurus; $5 + $0.30/mile
Idaho	1S6	Priest River Municipal	4/2025	Courtesy car available
Idaho	KRXE	Rexburg - Madison County / Copter Doctor Plus or Rexburg Air Service	6/2024	Car available; call Louis beforehand
Idaho	U56	Rigby - Sharp Aviation	4/2025	Car at north end of airport near Runway 19
Idaho	KSMN	Salmon - Lemhi County / Gem Air & Salmon Air	8/2024	2 cars
Idaho	KSZT	Sandpoint - Granite Aviation	9/2025	Toyota Highlander; 3-hour limit; bikes too
Idaho	KTWF	Twin Falls - Joslin Field / Reeder Flying Service	8/2024	Courtesy car available
Idaho	S87	Weiser Municipal	9/2024	Nice Chevrolet sedan in carport
Idaho	3U2	Yellow Pine - Johnson Creek / State-owned car	8/2024	State-owned car
Illinois	KALN	Alton - St Louis Regional / West Star Aviation	8/2024	Car available
Illinois	H96	Benton Municipal	9/2025	New mini-van replaced old police cruiser
Illinois	KBMI	Bloomington/Normal - Synergy Flight Center	7/2025	Car available
Illinois	1C5	Bolingbrook's Clow International - JW Aviation	7/2025	Courtesy car available
Illinois	KCTK	Canton - Ingersoll Airport	8/2024	Courtesy van
Illinois	KMDH	Carbondale - Murphysboro / Flightline	7/2025	Courtesy car available
Illinois	KCPS	Cahokia - St. Louis Downtown / Jet Aviation	7/2025	Courtesy car; $30 ramp fee
Illinois	KCMI	Champaign/Urbana - U of I / Flightstar	4/2025	Courtesy car available
Illinois	KPWK	Chicago Exec. - Hawthorne & Signature	4/2025	Cars at multiple FBOs
Illinois	KARR	Chicago Aurora Municipal - J.A. Air & Revv Aviation	4/2025	Cars at multiple FBOs
Illinois	KDPA	DuPage Airport - Chicago/West Chicago	4/2025	Courtesy car available
Illinois	KMDW	Chicago Midway - Signature & Atlantic	8/2025	Cars at multiple FBOs
Illinois	3CK	Chicago - Lake In The Hills	9/2024	Courtesy car available
Illinois	KRFD	Chicago-Rockford International - Emery Air	4/2025	Crew cars available
Illinois	06C	Chicago - Schaumburg Regional / Holiday Airways	8/2025	Car available; can be reserved
Illinois	KUGN	Chicago - Waukegan Regional / Signature	7/2025	1 car; 2-hour max
Illinois	KDNV	Danville - Vermilion Regional / Midwest Aero	4/2025	Toyota Avalon and Chrysler Town & Country
Illinois	KDEC	Decatur - Gaitros Aviation	7/2025	Courtesy car available
Illinois	KDKB	De Kalb Taylor Municipal - DeKalb Flight Center	1/2025	Chevy Blazer and Chevy Impala
Illinois	1H2	Effingham County Memorial	9/2025	2 Crown Victorias; 2-hour limit
Illinois	KFWC	Fairfield Municipal	4/2025	Ford Expedition; in-town use only
Illinois	KFOA	Flora Municipal	8/2024	Courtesy van; accessible after hours
Illinois	KFEP	Freeport	4/2025	Courtesy car available
Illinois	KGBG	Galesburg Muni - Jet Air	4/2025	5 crew cars; all late model; no ramp fees
